product_type,attributes,Stream,cum_weightage,sa_name,completeness_weight,UMP,Seller - Required vs Optional
NON_RIDING_TOY_VEHICLE,operation_mode,"'Refinement', 'FAQ'",0.4,operation_mode,4,UMP,Optional
WEARABLE_COMPUTER,battery_average_life,"'Refinement', 'FAQ'",0.4,,,,
WEARABLE_COMPUTER,display_type,"'Refinement', 'FAQ'",0.4,,,,
PERSONAL_FRAGRANCE,item_volume,"'Refinement', 'FAQ'",0.4,item_volume,8,UMP,Required
PERSONAL_FRAGRANCE,scent,"'Refinement', 'Customer_Search'",0.4,scent,4,rac,Required
BLANK_BOOK,ruling_type,"'Refinement', 'FAQ'",0.4,ruling_type,4,UMP,Optional
BOOKEND, material,"'FAQ', 'Customer_Search'",0.4,,,,
VEGETABLE, ingredients,"'FAQ', 'Customer_Search'",0.4,,,,
LIGHT_BULB,power_source_type,"'FAQ', 'Customer_Search'",0.4,power_source_type,4,UMP,Optional
LIGHT_BULB,number_of_items,"'Refinement', 'FAQ'",0.4,number_of_items,4,rac,Required
PERSONAL_FRAGRANCE,target_gender,"'FAQ', 'Customer_Search'",0.4,target_gender,8,rac,Required
NON_RIDING_TOY_VEHICLE,toy_vehicle_form,"'FAQ', 'Customer_Search'",0.4,toy_vehicle_form,8,rac,Optional
BOOKEND,brand,"'FAQ', 'Customer_Search'",0.4,brand,4,UMP,Required
BABY_PRODUCT,product_lot_code_tracking_class,"'FAQ', 'Customer_Search'",0.4,,,UMP,Optional
VEGETABLE,produce_classification,"'FAQ', 'Customer_Search'",0.4,produce_classification,8,UMP,Optional
BOOKEND,item_depth_width_height,"'FAQ', 'Customer_Search'",0.4,item_depth_width_height,4,UMP,Required
TOY_FIGURE,theme,"'Refinement', 'Customer_Search'",0.4,theme,8,UMP,Optional
BOOKEND,material,"'FAQ', 'Customer_Search'",0.4,material,8,rac,Required
VEGETABLE,produce_sold_as_format,"'FAQ', 'Customer_Search'",0.4,produce_sold_as_format,4,UMP,Optional
BLANK_BOOK,cover_material,"'Refinement', 'Customer_Search'",0.4,,,,
TOY_FIGURE,special_feature,"'Refinement', 'FAQ'",0.4,special_feature,8,UMP,Optional
BOTTLE,special_feature,"'Refinement', 'FAQ'",0.4,special_feature,8,rac,Required
BED_LINEN_SET,size,"'FAQ', 'Customer_Search'",0.4,size,8,rac,Required
WALLET,color,"'Refinement', 'FAQ'",0.4,color,8,rac,Required
CELLULAR_PHONE,biometric_security_feature,"'Refinement', 'FAQ'",0.4,biometric_security_feature,4,UMP,Optional
CELLULAR_PHONE,cellular_technology,"'Refinement', 'FAQ'",0.4,cellular_technology,8,rac,Required
PORTABLE_ELECTRONIC_DEVICE_COVER,brand,"'FAQ', 'Customer_Search'",0.4,brand,8,UMP,Required
CELLULAR_PHONE,connectivity_technology,"'Refinement', 'FAQ'",0.4,connectivity_technology,8,rac,Required
CELLULAR_PHONE,connector_type,"'Refinement', 'FAQ'",0.4,connector_type,8,rac,Required
PORTABLE_ELECTRONIC_DEVICE_COVER,color,"'Refinement', 'FAQ'",0.4,color,8,rac,Required
ABIS_BOOK,publication_date,"'FAQ', 'Customer_Search'",0.4,,,rac,Required
LAUNDRY_DETERGENT, item_form,"'FAQ', 'Customer_Search'",0.4,,,,
LAUNDRY_DETERGENT, formulation_type,"'FAQ', 'Customer_Search'",0.4,,,,
TOYS_AND_GAMES,material,"'Refinement', 'FAQ'",0.4,material,8,rac,Required
WRITING_INSTRUMENT,point_type,"'FAQ', 'Customer_Search'",0.4,,,,
PORTABLE_ELECTRONIC_DEVICE_COVER,compatible_devices,"'FAQ', 'Customer_Search'",0.4,compatible_devices,8,rac,Optional
NON_RIDING_TOY_VEHICLE, material,'DPMO',0.4,,,,
NUT_AND_SEED,flavor,"'FAQ', 'Customer_Search'",0.4,flavor,8,rac,Required
NUT_AND_SEED,ingredients,"'FAQ', 'Customer_Search'",0.4,ingredients,8,UMP,Required
PORTABLE_ELECTRONIC_DEVICE_COVER,material,"'Refinement', 'Customer_Search'",0.4,material,4,rac,Required
TOYS_AND_GAMES,age_range_description,"'Refinement', 'Customer_Search'",0.4,age_range_description,8,UMP,Optional
WRITING_INSTRUMENT,writing_instrument_form,"'FAQ', 'Customer_Search'",0.4,writing_instrument_form,8,UMP,Optional
WRITING_INSTRUMENT,color,"'FAQ', 'Customer_Search'",0.4,color,8,rac,Required
WRITING_INSTRUMENT,ink_color,"'FAQ', 'Customer_Search'",0.4,,,,
NON_RIDING_TOY_VEHICLE,special_feature,"'Refinement', 'FAQ'",0.4,special_feature,4,UMP,Optional
LAUNDRY_DETERGENT,number_of_items,"'FAQ', 'Customer_Search'",0.4,number_of_items,4,rac,Required
BALLOON,occasion,"'Refinement', 'Customer_Search'",0.4,,,UMP,Required
NON_RIDING_TOY_VEHICLE,color,"'Refinement', 'FAQ'",0.4,color,8,mac,Required
NON_RIDING_TOY_VEHICLE,age_range_description,"'FAQ', 'Customer_Search'",0.4,age_range_description,8,mac,Optional
LAUNDRY_DETERGENT,material_type_free,"'FAQ', 'Customer_Search'",0.4,material_type_free,4,UMP,Optional
LAUNDRY_DETERGENT,material_feature,"'FAQ', 'Customer_Search'",0.4,material_feature,4,UMP,Optional
BED_LINEN_SET,material,"'FAQ', 'Customer_Search'",0.4,material,8,rac,Required
WALLET,form_factor,"'Refinement', 'FAQ'",0.4,form_factor,4,UMP,Optional
LAUNDRY_DETERGENT,formulation_type,"'FAQ', 'Customer_Search'",0.4,formulation_type,4,UMP,Optional
PESTICIDE,target_species,"'FAQ', 'Customer_Search'",0.4,target_species,4,UMP,Optional
CELLULAR_PHONE,battery_average_life,"'Refinement', 'FAQ'",0.4,,,,
CELLULAR_PHONE,battery_capacity,"'Refinement', 'FAQ'",0.4,,,,
MASSAGER,target_use_body_part,"'Refinement', 'Customer_Search'",0.4,target_use_body_part,8,UMP,Optional
SCREEN_PROTECTOR,compatible_phone_models,'Customer_Search',0.2,compatible_phone_models,4,rac,Optional
PANTS,pants_form_type,'Customer_Search',0.2,pants_form_type,4,UMP,Optional
PANTS,inseam_length,'Refinement',0.2,,,,
PANTS,rise_style,'FAQ',0.2,,,,
PANTS,pattern,'Refinement',0.2,,,,
PANTS,material,'Refinement',0.2,material,8,rac,Required
SCREEN_PROTECTOR,product_line,'Customer_Search',0.2,,,,
SCREEN_PROTECTOR,model_name,'Customer_Search',0.2,model_name,1,,
PANTS,pattern_type,'Refinement',0.2,pattern_type,4,mac,Optional
PANTS,occasion_type,'Refinement',0.2,occasion_type,4,rac,Optional
PANTS,item_length_description,'FAQ',0.2,item_length_description,4,rac,Required
SCREEN_PROTECTOR,finish_type,'FAQ',0.2,finish_type,4,rac,Required
SCREEN_PROTECTOR,item_length_width,'FAQ',0.2,item_length_width,4,UMP,Required
PANTS,pocket_description,'Refinement',0.2,pocket_description,1,,
PANTS,program_member,'Refinement',0.2,,,,
SHAMPOO,hair_type,'FAQ',0.2,hair_type,8,rac,Required
PANTS,fabric_type,'FAQ',0.2,fabric_type,4,mac,Required
SCREEN_PROTECTOR,water_resistance_level,'FAQ',0.2,water_resistance_level,4,UMP,Optional
SHAMPOO,recommended_uses_for_product,'Refinement',0.2,recommended_uses_for_product,2,,
SHAMPOO,scent,'Customer_Search',0.2,scent,8,mac,Required
NUT_AND_SEED,type,'Customer_Search',0.2,,,,
